NQUEST,TIPOI,QUEST,NQUESTP,STUPCF,STUMCF,STUPCO,STUMCO,CITPCF,CITMCF,CITPCO,CITMCO,VITGEN,NGEN,FIGLI,NFIGLI,PARNOIT,ANCONV,CONTINT,NCOMP
883322,1,3,,2,4,2,2,1,1,1,1,1,1,1,2,,1979,2,2
883343,1,3,,,,,,,,,,2,,1,2,,1974,2,2
883382,2,3,,,,,,,,,,2,,1,2,,1971,2,2
883392,1,3,,2,2,2,2,1,1,1,1,1,1,1,1,,1984,1,3
883500,2,3,,2,2,2,1,1,1,1,1,1,2,2,,,1992,2,5
883588,1,3,,,,,,,,,,2,,1,2,,1990,3,3
883642,2,3,,4,4,,,1,1,,,2,,1,1,2,,2,2
883754,1,3,,,,,,,,,,2,,2,,2,,2,1
883762,2,3,,,,,,,,,,2,,1,1,,1990,2,3
883787,1,3,,,,,,,,,,2,,2,,2,,5,2
883789,1,3,,2,2,,,1,1,,,2,,1,2,,,3,1
883988,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1975,1,2
883990,1,3,,5,3,4,2,1,1,1,1,2,,1,2,,1976,4,2
884032,1,3,,3,4,,,1,1,,,2,,2,,2,,1,1
884033,1,3,,2,2,2,2,1,1,1,1,2,,2,,,2017,2,2
884038,1,3,,1,1,,,1,1,,,2,,1,3,,,1,1
884053,1,3,,2,2,2,1,1,1,1,1,1,3,2,,,2003,1,4
884122,2,3,,,,,,,,,,2,,1,2,,,3,1
884269,2,3,,,,,,,,,,2,,2,,2,,2,3
884279,2,3,,,,,,,,,,2,,2,,,,2,2
884294,2,3,,,,,,,,,,2,,1,2,,,2,2
884440,2,3,,,,,,,,,,1,2,2,,,1990,4,4
884570,2,3,,,,,,,,,,2,,2,,2,,4,1
884680,1,3,,,,,,,,,,2,,1,2,,1968,3,2
884685,1,3,,,,,,,,,,1,3,1,1,,1993,3,3
884867,1,3,,,,,,,,,,1,2,2,,,2017,2,3
884972,1,3,,,,,,,,,,1,1,2,,,1992,3,4
884983,1,3,,,,,,,,,,2,,1,2,2,,1,3
885025,2,3,,,,,,,,,,2,,1,2,,1968,2,2
885037,2,3,,,,,,,,,,1,2,2,,,1996,3,4
885045,2,3,,,,,,,,,,1,2,1,1,,1989,2,2
885047,1,3,,,,,,,,,,2,,2,,,1992,2,3
885062,1,3,,,,,,,,,,3,,2,,1,,4,2
885077,1,3,,,,,,,,,,2,,1,2,,,2,1
885353,2,3,,,,,,,,,,2,,1,2,,1984,2,2
885551,2,3,,,,,,,,,,1,2,1,1,,2002,2,3
885625,2,3,,1,1,2,2,1,1,1,1,1,2,2,,,1996,2,5
885633,2,3,,2,2,,,1,1,,,2,,2,,2,,2,1
885639,2,3,,3,3,2,2,1,1,1,1,1,4,2,,,2008,3,4
885646,1,3,,,,,,,,,,1,3,1,2,,1985,1,3
885661,2,3,,2,3,3,3,1,1,1,1,1,4,2,,,1982,3,4
885697,2,3,,,,,,,,,,1,4,2,,,2007,4,4
885709,2,3,,5,5,5,4,1,1,1,1,2,,1,1,,1984,2,3
885822,2,3,,,,,,,,,,2,,2,,2,,2,1
885868,2,3,,,,,,,,,,1,1,2,,,1995,5,3
885878,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1977,3,3
886273,1,3,,,,,,,,,,2,,1,3,,1983,1,2
886347,2,3,,,,,,,,,,1,3,1,1,,1993,3,3
886419,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1987,3,3
886427,2,3,,,,,,,,,,2,,1,2,,1980,2,2
886443,1,3,,,,,,,,,,2,,1,2,,1973,3,2
886457,1,3,,,,,,,,,,1,3,2,,,1998,2,4
886529,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1980,2,2
886533,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1970,6,2
886581,1,3,,,,,,,,,,2,,1,2,,,3,1
886603,1,3,,,,,,,,,,2,,1,3,,1969,2,2
886604,2,3,,,,,,,,,,1,2,2,,,2000,3,4
886606,1,3,,,,,,,,,,2,,1,2,,,1,1
886636,1,3,,,,,,,,,,2,,2,,,,1,1
886721,2,3,,,,,,,,,,1,2,2,,,1998,3,5
886741,2,3,,,,,,,,,,2,,1,2,,,5,1
886748,2,3,,2,1,2,2,1,1,1,1,1,1,1,2,,1983,2,2
886789,2,3,,,,,,,,,,2,,2,,,1990,2,4
886797,2,3,,1,1,3,2,1,1,1,1,1,2,2,,,1990,3,3
886817,2,3,,2,2,,,1,1,,,2,,1,1,2,,2,1
886822,1,3,,,,,,,,,,2,,1,2,,1979,1,2
886887,1,3,,2,2,2,2,1,1,1,1,2,,1,3,,1958,2,2
886915,1,3,,2,2,,,1,1,,,2,,1,1,,,1,1
886918,1,3,,3,2,,,1,1,,,2,,1,1,,,2,1
887021,1,3,,,,,,,,,,2,,1,2,2,,1,1
887498,2,3,,,,,,,,,,1,1,2,,,1988,3,4
887611,2,3,,4,4,3,3,1,1,1,1,1,3,2,,,2006,3,4
887614,2,3,,2,1,3,2,1,1,2,2,1,2,2,,,2003,3,3
887655,2,3,,3,3,,,1,1,,,2,,2,,2,,2,1
887679,1,3,,4,3,,,1,1,,,2,,2,,,,1,1
887736,2,3,,,,,,,,,,2,,2,,2,,2,1
887755,2,3,,,,,,,,,,2,,2,,,2005,2,2
887782,1,3,,,,,,,,,,2,,2,,,,4,1
887787,2,3,,,,,,,,,,1,1,1,2,,1987,6,4
887859,2,3,,,,,,,,,,2,,2,,,,2,1
887863,1,3,,2,3,3,3,1,1,1,1,3,,2,,,2004,1,3
888112,2,3,,,,,,,,,,1,3,1,1,,1992,2,3
888178,2,3,,2,2,1,1,1,1,1,1,2,,1,2,,1985,2,3
888185,2,3,,,,,,,,,,2,,1,1,,1982,2,3
888292,1,3,,,,,,,,,,2,,2,,2,,1,1
888304,1,3,,,,,,,,,,,,2,,2,,1,5
888363,1,3,,2,2,2,2,1,1,1,1,2,,2,,,1978,4,2
888377,2,3,,,,,,,,,,1,1,2,,,1993,4,5
888390,2,3,,,,,,,,,,2,,2,,,,2,3
888404,2,3,,,,,,,,,,2,,1,2,,1971,2,2
888413,2,3,,,,,,,,,,2,,1,2,,1969,2,2
888436,1,3,,2,2,,,1,1,,,2,,1,4,,,1,1
888452,1,3,,3,2,3,3,1,1,1,1,1,1,2,,,1995,1,4
888455,1,3,,,,,,,,,,1,3,2,,,2004,3,2
888606,1,3,,,,,,,,,,1,4,2,,,2000,1,5
888623,1,3,,3,3,2,2,1,1,1,1,1,2,2,,,1999,1,4
888843,2,3,,4,4,,,1,1,,,1,1,2,,2,,4,2
888848,2,3,,,,,,,,,,1,4,2,,,2014,5,2
888873,1,3,,2,2,,,1,1,,,2,,2,,,,1,1
889014,2,3,,1,1,2,2,1,1,1,1,2,,1,2,,1966,3,2
889047,2,3,,,,,,,,,,1,1,1,1,2,,2,1
889109,2,3,,,,,,,,,,2,,2,,2,,3,1
889192,2,3,,,,,,,,,,1,4,2,,,2008,3,3
889251,1,3,,,,,,,,,,2,,1,2,,,1,1
889378,1,3,,,,,,,,,,2,,1,1,2,,2,2
889402,2,3,,3,2,2,2,1,1,1,1,1,3,2,,,2000,2,5
889497,2,3,,,,,,,,,,2,,1,1,,1988,4,3
889512,1,3,,,,,,,,,,2,,2,,,1962,1,2
889537,1,3,,,,,,,,,,2,,1,3,,1980,4,4
889577,1,3,,2,2,,,1,1,,,2,,1,2,,,3,2
889583,1,3,,,,,,,,,,1,1,2,,2,,1,3
889587,2,3,,2,2,2,2,1,1,1,1,2,,1,1,,1974,3,2
889623,2,3,,,,,,,,,,1,2,2,,,1988,6,5
889706,2,3,,3,3,3,3,1,1,1,1,1,4,2,,,2011,2,4
889710,1,3,,3,3,2,3,1,1,1,1,1,3,2,,,1999,3,3
889711,2,3,,3,4,4,3,1,1,1,1,1,2,2,,2,,3,1
889714,2,3,,,,,,,,,,1,2,2,,,2015,4,3
889715,2,3,,,,,,,,,,1,1,2,,2,,4,1
889719,1,3,,,,,,,,,,2,,2,,,2010,2,2
889720,1,3,,2,2,,,1,1,,,1,1,1,2,2,,2,2
889721,1,3,,4,5,4,2,1,1,1,1,1,2,1,2,,1988,1,2
889722,2,3,,5,4,3,2,1,1,1,1,1,3,2,,,2005,2,4
889724,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1975,1,2
889728,1,3,,3,3,,,1,1,,,1,1,2,,2,,1,3
889729,2,3,,5,3,,,1,1,,,2,,2,,2,,2,1
889738,2,3,,5,5,3,3,1,1,1,1,1,3,2,,,2017,4,3
889740,1,3,,,,,,,,,,1,3,2,,,2011,2,5
889753,1,3,,,,,,,,,,2,,1,4,,1971,1,2
890008,2,3,,1,1,,,1,1,,,2,,1,1,,,1,1
890030,2,3,,2,2,,,1,1,,,2,,2,,2,,2,4
890101,1,3,,2,2,,,1,1,,,1,2,2,,2,,1,1
890419,2,3,,,,,,,,,,2,,1,2,,1963,2,2
890869,1,3,,2,2,,,1,1,,,,,2,,2,,1,5
890871,2,3,,1,1,1,1,1,1,1,1,2,,1,3,,1973,2,3
890880,1,3,,2,2,,,1,1,,,2,,1,3,1,,2,1
890963,1,3,,3,3,3,3,1,1,1,1,2,,1,1,,1970,1,2
890970,2,3,,4,4,4,4,1,1,1,1,2,,1,1,,1970,2,2
891214,2,3,,2,2,2,2,1,1,1,1,1,3,2,,,1993,2,4
891317,1,3,,3,2,2,2,1,1,1,1,2,,1,1,,1968,2,2
891320,1,3,,,,,,,,,,2,,1,2,,,1,1
891676,1,3,,,,,,,,,,2,,2,,,1960,1,2
891688,2,3,,,,,,,,,,2,,2,,,1980,2,4
891872,2,3,,,,,,,,,,2,,2,,2,,2,1
891877,2,3,,,,,,,,,,2,,2,,,1980,6,2
891947,2,3,,,,,,,,,,2,,1,2,,,2,1
892076,1,3,,2,2,2,2,1,1,1,1,2,,2,,,1972,6,2
892173,2,3,,2,2,,,1,1,,,2,,2,,2,,3,2
892193,2,3,,,,,,,,,,1,2,1,1,,1988,3,3
892230,2,3,,,,,,,,,,1,1,1,2,,1974,3,2
892336,1,3,,,,,,,,,,2,,2,,2,,2,1
892670,1,3,,,,,,,,,,2,,2,,2,,2,1
892684,2,3,,3,3,3,3,1,1,1,1,1,3,2,,,2003,4,4
892703,1,3,,,,,,,,,,2,,1,2,,,2,1
892710,2,3,,2,2,3,2,1,1,1,1,1,4,2,,,2008,3,4
892736,1,3,,1,1,,,1,1,,,2,,2,,,,2,3
892745,2,3,,2,2,2,2,1,1,1,1,2,,1,2,,1983,2,2
892838,2,3,,,,,,,,,,2,,1,2,,1975,2,2
892877,1,3,,,,,,,,,,2,,2,,2,,1,1
892884,1,3,,,,,,,,,,2,,1,2,,,2,1
892887,1,3,,,,,,,,,,1,1,2,,2,,4,2
892895,1,3,,,,,,,,,,2,,2,,,1985,1,6
892941,2,3,,,,,,,,,,1,1,1,1,2,,6,1
892972,2,3,,,,,,,,,,2,,2,,2,,2,1
893033,2,3,,,,,,,,,,2,,1,2,,,3,1
893052,2,3,,,,,,,,,,1,1,2,,,1994,2,3
893062,2,3,,2,2,,,1,1,,,2,,2,,2,,4,1
893173,1,3,,,,,,,,,,2,,2,,2,,1,2
893181,1,3,,,,,,,,,,2,,1,3,,1973,2,4
893225,1,3,,4,2,,,1,1,,,2,,2,,,,3,1
893372,1,3,,,,,,,,,,2,,2,,,,2,1
893396,2,3,,,,,,,,,,1,4,2,,,2000,5,3
893402,1,3,,,,,,,,,,2,,2,,,1998,3,4
893421,1,3,,,,,,,,,,2,,1,3,,1976,1,2
893435,1,3,,,,,,,,,,1,1,1,2,,1986,1,3
893538,1,3,,3,3,3,3,1,1,1,1,1,1,2,,,1996,4,2
893579,1,3,,7,7,,,2,2,,,2,,2,,2,,3,2
893971,2,3,,2,2,2,2,1,1,1,1,2,,2,,,1994,4,5
893990,2,3,,2,1,,,1,1,,,2,,1,2,,,4,2
894126,2,3,,,,,,,,,,1,2,1,2,,1977,2,2
894133,1,3,,3,2,2,2,1,1,1,1,2,,1,1,,1972,2,2
894140,2,3,,,,,,,,,,1,2,1,2,,1985,2,2
894324,1,3,,2,2,,,1,1,,,2,,1,1,,,1,1
894327,1,3,,2,2,2,2,1,1,1,1,2,,2,,,1977,1,5
894430,2,3,,,,,,,,,,2,,1,2,,,2,1
894438,2,3,,2,2,2,2,1,1,1,1,2,,1,2,,1976,2,2
894447,2,3,,2,2,,,1,1,,,2,,2,,2,,2,2
894476,1,3,,2,2,3,2,1,1,1,1,2,,2,,,1974,1,2
894561,2,3,,,,,,,,,,2,,2,,,2018,2,6
894587,1,3,,2,2,,,1,1,,,2,,2,,,,1,1
894607,2,3,,,,,,,,,,2,,1,1,,2008,3,3
894884,2,3,,,,,,,,,,2,,1,1,,1980,2,2
894887,2,3,,,,,,,,,,1,1,2,,,2008,2,5
894924,1,3,,1,1,2,1,1,1,1,1,2,,1,2,,1976,1,2
895184,2,3,,,,,,,,,,2,,2,,,1968,3,3
895197,2,3,,,,,,,,,,2,,1,1,,,2,5
895376,1,3,,,,,,,,,,2,,2,,2,,2,1
895384,1,3,,,,,,,,,,2,,1,1,,1959,1,2
895479,2,3,,,,,,,,,,2,,1,3,,1969,2,2
895512,2,3,,,,,,,,,,1,2,2,,2,,2,1
895624,2,3,,7,7,7,7,1,1,1,1,3,,2,,,1990,2,9
895730,2,3,,,,,,,,,,2,,1,2,,1978,1,3
895774,1,3,,2,2,2,2,1,1,1,1,2,,1,2,,1969,3,2
895776,2,3,,,,,,,,,,2,,1,2,,1986,6,4
895840,1,3,,2,1,,,1,1,,,2,,2,,2,,2,1
895972,2,3,,,,,,,,,,2,,2,,,1984,2,4
896130,1,3,,2,1,7,7,1,1,1,1,2,,2,,,1973,1,2
896341,2,3,,,,,,,,,,2,,1,1,,1971,3,2
896404,1,3,,2,2,,,1,1,,,2,,1,2,,,2,1
896539,1,3,,4,3,2,2,1,1,1,1,2,,2,,,2007,3,2
896608,2,3,,5,4,,,1,1,,,1,2,2,,2,,4,3
896749,1,3,,3,3,3,3,1,1,1,1,1,2,2,,,1994,5,3
896875,1,3,,2,2,4,3,1,1,1,1,2,,1,1,,1976,2,2
896902,1,3,,2,2,,,1,1,,,2,,1,2,2,,1,1
896988,1,3,,4,2,,,1,1,,,2,,1,1,1,,2,1
896995,1,3,,2,2,2,2,1,1,1,1,1,1,2,,,1992,2,2
896996,1,3,,2,2,2,3,1,1,1,1,1,2,2,,,1996,2,4
897127,1,3,,,,,,,,,,2,,2,,,1964,4,3
897225,1,3,,,,,,,,,,2,,1,2,,,3,1
897228,1,3,,,,,,,,,,2,,1,2,,,1,1
897397,1,3,,2,2,,,1,1,,,2,,1,2,,,2,1
897442,1,3,,,,,,,,,,2,,2,,,,1,2
897837,1,3,,,,,,,,,,2,,1,1,,1972,2,2
897876,2,3,,2,2,2,2,1,1,1,1,2,,1,2,,1979,2,2
897893,2,3,,1,1,1,1,1,1,1,1,2,,1,4,,1965,2,2
897935,2,3,,,,,,,,,,2,,1,2,,,2,1
898090,1,3,,,,,,,,,,2,,1,1,,1975,4,3
898138,2,3,,,,,,,,,,2,,1,2,,1968,3,2
898191,1,3,,,,,,,,,,1,1,2,,,1992,2,7
898220,1,3,,,,,,,,,,2,,2,,,,2,2
898380,1,3,,,,,,,,,,2,,2,,,1960,1,2
898387,1,3,,,,,,,,,,2,,2,,2,,1,1
898401,2,3,,1,1,,,1,1,,,1,1,2,,2,,2,1
898416,1,3,,,,,,,,,,1,2,1,2,2,,2,3
898442,1,3,,3,2,,,1,1,,,2,,1,2,,,2,1
898594,1,3,,1,1,,,1,1,,,2,,2,,2,,2,1
898661,2,3,,3,2,7,7,1,1,1,1,1,4,2,,,2015,2,2
898682,1,3,,2,3,2,3,1,1,1,1,1,3,2,,,1995,1,4
898977,2,3,,,,,,,,,,2,,2,,,,3,1
899055,2,3,,,,,,,,,,1,3,2,,,2006,2,4
899140,2,3,,2,2,2,2,1,1,1,1,1,1,1,2,,1977,2,2
899268,2,3,,,,,,,,,,1,1,1,1,2,,3,1
899301,1,3,,2,2,2,2,1,1,1,1,1,1,1,1,,1980,2,2
899437,2,3,,2,2,,,1,1,,,2,,2,,2,,4,1
899500,1,3,,2,1,2,2,1,1,1,1,2,,1,2,,1978,1,3
899501,1,3,,,,,,,,,,2,,2,,,1991,2,4
899540,1,3,,,,,,,,,,2,,2,,,1971,1,2
899553,1,3,,,,,,,,,,2,,2,,,1992,2,4
899556,1,3,,,,,,,,,,1,3,2,,,1995,1,5
899560,2,3,,,,,,,,,,2,,2,,1,,2,1
899562,1,3,,,,,,,,,,2,,2,,,2000,1,4
899706,2,3,,,,,,,,,,2,,2,,,1972,1,4
899737,1,3,,2,2,2,2,1,1,1,1,1,2,2,,,1993,2,4
899895,1,3,,1,1,1,1,1,1,1,1,2,,2,,,1974,1,2
899998,1,3,,,,,,,,,,2,,1,6,,,1,1
900325,2,3,,,,,,,,,,1,2,2,,,1994,2,4
900339,2,3,,,,,,,,,,2,,1,2,,,2,1
900354,2,3,,,,,,,,,,2,,1,2,,,2,1
900371,2,3,,,,,,,,,,2,,2,,2,,4,1
900486,2,3,,,,,,,,,,1,2,2,,2,,2,1
900495,2,3,,,,,,,,,,2,,1,3,,1969,2,2
900573,1,3,,,,,,,,,,1,2,2,,,1982,1,4
900673,1,3,,,,,,,,,,2,,2,,,1986,2,3
900796,2,3,,3,2,2,2,1,1,1,1,2,,1,2,,1964,3,2
900829,1,3,,,,,,,,,,,,2,,2,,1,3
901126,1,3,,,,,,,,,,1,3,2,,,2006,1,3
901402,1,3,,3,3,7,2,1,1,1,1,1,2,1,1,,1994,4,3
901450,2,3,,,,,,,,,,2,,1,1,2,,1,3
901474,2,3,,,,,,,,,,2,,2,,,1994,2,3
901501,2,3,,2,2,,,1,1,,,2,,1,1,,,2,1
901516,1,3,,,,,,,,,,2,,1,1,,,1,1
901608,2,3,,,,,,,,,,2,,2,,,,2,2
901756,1,3,,,,,,,,,,2,,1,2,,1968,2,2
901761,2,3,,,,,,,,,,1,1,2,,,1985,2,6
901876,2,3,,,,,,,,,,1,1,2,,2,,4,1
901879,2,3,,,,,,,,,,1,2,1,1,,1991,4,6
901950,2,3,,,,,,,,,,2,,1,3,,1968,1,2
901952,2,3,,,,,,,,,,2,,1,1,,,8,1
901955,1,3,,,,,,,,,,2,,1,1,,1960,1,3
901965,2,3,,,,,,,,,,2,,2,,2,,4,1
902006,1,3,,1,1,,,1,1,,,2,,1,3,,,1,1
902047,2,3,,4,3,,,1,1,,,2,,1,1,2,,3,1
902247,2,3,,2,2,,,1,1,,,2,,2,,2,,2,1
902401,1,3,,,,,,,,,,1,2,1,2,,1987,1,2
902417,2,3,,,,,,,,,,2,,2,,,,2,2
902575,2,3,,1,1,1,1,1,1,1,1,1,4,1,5,,1990,2,4
902673,2,3,,1,1,1,1,1,1,1,1,2,,1,2,,1982,2,2
902680,2,3,,2,1,,,1,1,,,2,,1,2,2,,2,1
902712,2,3,,5,4,3,2,1,1,1,1,2,,2,,,1990,1,5
902913,1,3,,,,,,,,,,2,,1,2,,1984,5,3
902915,1,3,,,,,,,,,,1,1,1,2,,1989,3,2
902916,2,3,,,,,,,,,,1,2,2,,,1997,4,3
902949,1,3,,,,,,,,,,2,,1,8,,1957,1,2
903045,1,3,,1,1,1,1,1,1,1,1,2,,1,5,,1989,2,2
903046,1,3,,1,1,,,1,1,,,2,,1,3,,,1,1
903052,1,3,,1,1,,,1,1,,,2,,1,2,2,,4,1
903157,1,3,,1,2,2,2,1,1,1,1,2,,1,2,,1971,2,2
903195,1,3,,,,,,,,,,2,,1,2,2,,4,1
903358,1,3,,,,,,,,,,2,,1,3,,1963,1,2
903368,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
903373,1,3,,,,,,,,,,2,,2,,,,1,3
903424,1,3,,2,2,,,1,1,,,1,2,2,,2,,3,1
903428,1,3,,2,2,,,1,1,,,2,,2,,2,,2,1
903508,2,3,,2,2,,,1,1,,,2,,2,,,,3,2
903613,1,3,,,,,,,,,,2,,1,1,,,1,2
903656,1,3,,,,1,1,,,1,1,2,,2,,,1985,2,3
903735,1,3,,,,,,,,,,2,,2,,2,,2,1
903754,2,3,,,,,,,,,,2,,1,3,,,3,1
903768,2,3,,,,,,,,,,2,,1,1,,1969,3,2
903770,2,3,,,,,,,,,,2,,1,2,,1975,4,2
903904,1,3,,,,,,,,,,2,,2,,2,,2,1
904055,1,3,,,,,,,,,,2,,1,1,,,1,1
904114,2,3,,,,,,,,,,2,,1,1,,,2,1
904236,2,3,,,,,,,,,,1,3,2,,,1997,3,4
904242,2,3,,3,3,3,3,1,1,1,1,1,4,2,,,2009,4,2
904245,2,3,,4,3,4,3,1,1,1,1,1,3,2,,,2013,3,4
904491,1,3,,,,,,,,,,1,1,2,,2,,2,1
904510,2,3,,,,,,,,,,2,,1,2,,1970,2,2
904577,2,3,,,,,,,,,,2,,1,1,,1983,2,3
904580,2,3,,,,,,,,,,2,,1,2,,1975,2,4
904583,2,3,,,,,,,,,,1,2,2,,2,,2,3
904587,2,3,,,,,,,,,,2,,1,4,,,2,1
904723,1,3,,3,3,3,3,1,1,1,1,2,,2,,,1967,2,2
904730,1,3,,,,,,,,,,2,,2,,,,2,1
904732,1,3,,,,,,,,,,2,,2,,,,1,1
904878,1,3,,,,,,,,,,2,,1,4,2,,1,2
904888,1,3,,2,2,2,2,1,1,1,1,1,3,2,,,1998,2,4
904927,2,3,,2,2,3,2,1,1,1,1,2,,2,,,1994,2,3
904956,2,3,,3,3,7,7,2,2,2,2,2,,2,,,2005,3,4
905025,2,3,,2,2,,,1,1,,,2,,2,,,,2,1
905067,2,3,,2,2,,,1,1,,,2,,2,,2,,2,2
905073,2,3,,,,,,,,,,2,,1,3,,1969,2,2
905085,2,3,,,,,,,,,,1,2,2,,,1988,5,4
905113,1,3,,4,2,2,2,1,1,2,2,2,,2,,,2010,3,2
905122,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1972,3,3
905165,2,3,,2,1,,,1,1,,,2,,1,3,,,2,1
905171,2,3,,,,,,,,,,2,,1,2,,1967,2,2
905213,1,3,,2,2,,,1,1,,,2,,1,2,,,2,1
905217,2,3,,2,2,,,1,1,,,1,1,1,2,2,,1,3
905220,2,3,,3,3,2,2,1,1,1,1,2,,1,1,,1989,2,2
905472,1,3,,2,1,3,2,1,1,1,1,1,2,1,1,,1981,6,3
906080,1,3,,2,2,,,1,1,,,2,,2,,,,3,4
906126,1,3,,,,,,,,,,2,,1,3,,1955,1,2
906266,1,3,,1,1,1,1,1,1,1,1,2,,1,3,,1966,1,2
906329,1,3,,,,,,,,,,2,,1,1,2,,2,2
906362,1,3,,2,2,,,1,1,,,2,,1,1,2,,1,2
906415,1,3,,1,1,,,1,1,,,2,,2,,2,,3,1
906436,1,3,,2,2,,,1,1,,,2,,1,1,,,4,2
906503,1,3,,4,4,2,2,1,1,1,1,1,2,1,1,,2008,2,3
906532,2,3,,2,2,2,2,1,1,1,1,1,1,2,,,1986,3,4
906538,2,3,,2,3,4,3,1,1,1,1,1,4,2,,,2000,4,4
906545,1,3,,4,4,3,3,1,1,1,1,1,3,2,,,2003,2,4
906624,1,3,,2,2,,,1,1,,,2,,1,2,2,,1,1
906647,1,3,,1,1,,,2,2,,,2,,1,2,,,3,1
906726,1,3,,,,,,,,,,2,,1,2,2,,2,1
906885,1,3,,,,,,,,,,1,2,1,2,,1981,1,3
906891,1,3,,,,,,,,,,2,,2,,2,,1,1
906946,1,3,,2,2,2,2,1,1,1,1,2,,1,3,,1976,1,2
906948,1,3,,,,,,,,,,2,,1,2,,1980,1,4
907074,2,3,,,,,,,,,,2,,1,2,,,2,1
907373,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1970,3,2
907437,1,3,,,,,,,,,,2,,2,,2,,1,1
907441,1,3,,,,,,,,,,2,,2,,,1995,1,4
907490,2,3,,,,,,,,,,2,,1,2,,1971,4,2
907536,2,3,,2,2,2,2,1,1,1,1,2,,1,1,,1967,6,3
907644,1,3,,4,4,4,3,1,1,1,1,2,,2,,,2010,1,2
907648,2,3,,2,2,2,2,1,1,1,1,2,,1,1,,1968,2,2
907674,1,3,,,,,,,,,,2,,1,1,,1963,1,2
907776,2,3,,,,,,,,,,2,,1,1,,,3,1
907846,2,3,,3,3,,,1,1,,,2,,2,,2,,1,2
907852,2,3,,,,,,,,,,2,,2,,2,,2,1
907944,1,3,,,,,,,,,,2,,2,,,,2,4
907985,1,3,,2,2,2,2,1,1,1,1,2,,1,1,,1967,1,2
908051,1,3,,2,2,,,1,1,,,2,,1,1,,,4,6
908194,1,3,,,,,,,,,,1,3,2,,,2015,1,2
908214,1,3,,4,2,,,1,1,,,2,,1,2,,,1,1
908344,1,3,,,,,,,,,,2,,1,1,,2006,1,2
908384,1,3,,1,1,3,3,1,1,2,2,1,1,1,2,,1975,1,2
908516,1,3,,,,,,,,,,2,,2,,2,,1,2
908519,2,3,,3,2,,,1,1,,,1,2,2,,2,,3,1
908530,1,3,,3,3,4,4,1,1,1,1,1,1,2,,2,,2,3
908553,1,3,,,,,,,,,,2,,1,1,,1970,4,2
908691,1,3,,2,2,2,2,1,1,1,1,2,,1,3,,1976,3,3
908706,2,3,,2,2,2,3,1,1,1,1,1,1,2,,,1995,2,4
908711,2,3,,,,,,,,,,1,2,2,,,1993,3,4
908864,2,3,,2,2,3,3,1,1,1,1,1,1,2,,,1993,8,3
909050,2,3,,,,,,,,,,2,,2,,,1994,3,3
909113,1,3,,,,,,,,,,2,,1,1,,,2,1
909133,1,3,,,,,,,,,,1,4,2,,,2017,3,2
909236,1,3,,,,,,,,,,2,,2,,2,,1,2
909244,1,3,,,,,,,,,,2,,1,3,,1971,3,2
909250,1,3,,,,,,,,,,2,,1,1,,1983,1,3
909256,2,3,,,,,,,,,,1,1,1,2,2,,2,1
909259,1,3,,,,,,,,,,1,3,1,1,,1990,1,6
909389,1,3,,2,2,,,1,1,,,2,,1,2,,,2,1
909390,2,3,,2,2,2,2,1,1,1,1,2,,2,,,1972,3,5
909399,1,3,,2,2,2,2,1,1,1,1,1,1,1,1,,1973,3,2
909401,2,3,,2,2,,,1,1,,,2,,2,,,,2,3
909441,1,3,,5,3,3,4,1,1,1,1,1,4,2,,,2014,2,3
909442,1,3,,5,5,4,3,1,1,1,1,1,4,2,,,2011,1,4
909471,2,3,,2,3,,,1,1,,,1,2,2,,2,,4,1
909480,1,3,,2,2,,,1,1,,,1,1,2,,2,,2,1
909493,2,3,,1,1,1,1,1,1,1,1,2,,1,2,,1966,4,2
909502,2,3,,,,,,,,,,2,,1,3,,1965,6,2
909623,2,3,,3,3,4,4,1,1,1,1,1,4,2,,,2014,2,3
909624,1,3,,,,,,,,,,1,4,2,,,2014,1,3
909632,2,3,,4,2,2,2,1,1,1,1,2,,1,2,,2018,2,3
909639,1,3,,,,,,,,,,2,,1,2,,1963,2,2
909668,1,3,,,,,,,,,,2,,1,2,2,,2,2
909671,2,3,,2,3,2,1,1,1,1,1,1,2,2,,,2005,3,4
909695,2,3,,,,,,,,,,2,,2,,,2008,6,2
909727,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
909728,1,3,,,,,,,,,,1,2,1,3,,2005,1,3
909732,1,3,,2,2,,,1,1,,,2,,2,,2,,1,1
909737,1,3,,1,1,,,1,1,,,2,,2,,2,,1,1
909744,1,3,,3,3,,,1,1,,,2,,1,2,2,,1,1
909745,1,3,,,,,,,,,,1,4,2,,,1994,3,4
909753,1,3,,1,1,1,1,1,1,1,1,2,,1,2,,1967,1,2
909754,1,3,,3,3,,,1,1,,,1,1,2,,2,,1,2
909798,2,3,,,,,,,,,,2,,2,,,1962,2,2
909800,2,3,,,,,,,,,,2,,2,,2,,2,1
